date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:34:58	108266/108266	---M-Z	200	added ('OK')	text/html	etag:%221a6ea-5bd302fd32580-gzip%22	https://motaadmin.dexignlab.com/xhtml/email-inbox.html	C:/My%20Web%20Sites/admin_page/motaadmin.dexignlab.com/xhtml/email-inbox.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:34:58	82772/82772	---M-Z	200	added ('OK')	text/html	etag:%2214354-5bd302fd32580-gzip%22	https://motaadmin.dexignlab.com/xhtml/email-read.html	C:/My%20Web%20Sites/admin_page/motaadmin.dexignlab.com/xhtml/email-read.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:34:58	76842/76842	---M-Z	200	added ('OK')	text/html	etag:%2212c2a-5c33ad58f2180-gzip%22	https://motaadmin.dexignlab.com/xhtml/app-calender.html	C:/My%20Web%20Sites/admin_page/motaadmin.dexignlab.com/xhtml/app-calender.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:34:58	82026/82026	---M-Z	200	added ('OK')	text/html	etag:%221406a-5bd302fd32580-gzip%22	https://motaadmin.dexignlab.com/xhtml/ecom-product-grid.html	C:/My%20Web%20Sites/admin_page/motaadmin.dexignlab.com/xhtml/ecom-product-grid.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:34:59	87873/87873	---M-Z	200	added ('OK')	text/html	etag:%2215741-5bd302fd32580-gzip%22	https://motaadmin.dexignlab.com/xhtml/ecom-product-list.html	C:/My%20Web%20Sites/admin_page/motaadmin.dexignlab.com/xhtml/ecom-product-list.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:34:59	78963/78963	---M-Z	200	added ('OK')	text/html	etag:%2213473-5bd302fd32580-gzip%22	https://motaadmin.dexignlab.com/xhtml/ecom-product-detail.html	C:/My%20Web%20Sites/admin_page/motaadmin.dexignlab.com/xhtml/ecom-product-detail.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:34:59	112445/112445	---M-Z	200	added ('OK')	text/html	etag:%221b73d-5bd302fd32580-gzip%22	https://motaadmin.dexignlab.com/xhtml/ecom-product-order.html	C:/My%20Web%20Sites/admin_page/motaadmin.dexignlab.com/xhtml/ecom-product-order.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:34:59	87286/87286	---M-Z	200	added ('OK')	text/html	etag:%22154f6-5bd302fd32580-gzip%22	https://motaadmin.dexignlab.com/xhtml/ecom-checkout.html	C:/My%20Web%20Sites/admin_page/motaadmin.dexignlab.com/xhtml/ecom-checkout.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:35:00	78961/78961	---M-Z	200	added ('OK')	text/html	etag:%2213471-5c33adedb8080-gzip%22	https://motaadmin.dexignlab.com/xhtml/ecom-invoice.html	C:/My%20Web%20Sites/admin_page/motaadmin.dexignlab.com/xhtml/ecom-invoice.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:35:00	126244/126244	---M-Z	200	added ('OK')	text/html	etag:%221ed24-5bd302fd32580-gzip%22	https://motaadmin.dexignlab.com/xhtml/ecom-customers.html	C:/My%20Web%20Sites/admin_page/motaadmin.dexignlab.com/xhtml/ecom-customers.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:35:00	76411/76411	---M-Z	200	added ('OK')	text/html	etag:%2212a7b-5bd302ff1aa00-gzip%22	https://motaadmin.dexignlab.com/xhtml/chart-flot.html	C:/My%20Web%20Sites/admin_page/motaadmin.dexignlab.com/xhtml/chart-flot.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:35:00	74665/74665	---M-Z	200	added ('OK')	text/html	etag:%22123a9-5bd302ff1aa00-gzip%22	https://motaadmin.dexignlab.com/xhtml/chart-morris.html	C:/My%20Web%20Sites/admin_page/motaadmin.dexignlab.com/xhtml/chart-morris.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:35:00	79061/79061	---M-Z	200	added ('OK')	text/html	etag:%22134d5-5bd302ff1aa00-gzip%22	https://motaadmin.dexignlab.com/xhtml/chart-chartjs.html	C:/My%20Web%20Sites/admin_page/motaadmin.dexignlab.com/xhtml/chart-chartjs.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:35:01	82052/82052	---M-Z	200	added ('OK')	text/html	etag:%2214084-5bd302ff1aa00-gzip%22	https://motaadmin.dexignlab.com/xhtml/chart-chartist.html	C:/My%20Web%20Sites/admin_page/motaadmin.dexignlab.com/xhtml/chart-chartist.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:35:01	75915/75915	---M-Z	200	added ('OK')	text/html	etag:%221288b-5bd302fd32580-gzip%22	https://motaadmin.dexignlab.com/xhtml/chart-sparkline.html	C:/My%20Web%20Sites/admin_page/motaadmin.dexignlab.com/xhtml/chart-sparkline.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:35:01	84379/84379	---M-Z	200	added ('OK')	text/html	etag:%221499b-5bd302fd32580-gzip%22	https://motaadmin.dexignlab.com/xhtml/chart-peity.html	C:/My%20Web%20Sites/admin_page/motaadmin.dexignlab.com/xhtml/chart-peity.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:35:01	121872/121872	---M-Z	200	added ('OK')	text/html	etag:%221dc10-5bd302ff1aa00-gzip%22	https://motaadmin.dexignlab.com/xhtml/ui-accordion.html	C:/My%20Web%20Sites/admin_page/motaadmin.dexignlab.com/xhtml/ui-accordion.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:35:02	156294/156294	---M-Z	200	added ('OK')	text/html	etag:%2226286-5bd302ff1aa00-gzip%22	https://motaadmin.dexignlab.com/xhtml/ui-alert.html	C:/My%20Web%20Sites/admin_page/motaadmin.dexignlab.com/xhtml/ui-alert.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:35:02	88517/88517	---M-Z	200	added ('OK')	text/html	etag:%22159c5-5bd302ff1aa00-gzip%22	https://motaadmin.dexignlab.com/xhtml/ui-badge.html	C:/My%20Web%20Sites/admin_page/motaadmin.dexignlab.com/xhtml/ui-badge.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:35:03	101432/101432	---M-Z	200	added ('OK')	text/html	etag:%2218c38-5bd302ff1aa00-gzip%22	https://motaadmin.dexignlab.com/xhtml/ui-button.html	C:/My%20Web%20Sites/admin_page/motaadmin.dexignlab.com/xhtml/ui-button.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:35:03	91068/91068	---M-Z	200	added ('OK')	text/html	etag:%22163bc-5bd302ff1aa00-gzip%22	https://motaadmin.dexignlab.com/xhtml/ui-modal.html	C:/My%20Web%20Sites/admin_page/motaadmin.dexignlab.com/xhtml/ui-modal.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:35:03	80909/80909	---M-Z	200	added ('OK')	text/html	etag:%2213c0d-5bd302ff1aa00-gzip%22	https://motaadmin.dexignlab.com/xhtml/ui-button-group.html	C:/My%20Web%20Sites/admin_page/motaadmin.dexignlab.com/xhtml/ui-button-group.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:35:04	89106/89106	---M-Z	200	added ('OK')	text/html	etag:%2215c12-5bd302ff1aa00-gzip%22	https://motaadmin.dexignlab.com/xhtml/ui-list-group.html	C:/My%20Web%20Sites/admin_page/motaadmin.dexignlab.com/xhtml/ui-list-group.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:35:04	84221/84221	---M-Z	200	added ('OK')	text/html	etag:%22148fd-5bd302ff1aa00-gzip%22	https://motaadmin.dexignlab.com/xhtml/ui-media-object.html	C:/My%20Web%20Sites/admin_page/motaadmin.dexignlab.com/xhtml/ui-media-object.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:35:05	84728/84728	---M-Z	200	added ('OK')	text/html	etag:%2214af8-5bd302ff1aa00-gzip%22	https://motaadmin.dexignlab.com/xhtml/ui-card.html	C:/My%20Web%20Sites/admin_page/motaadmin.dexignlab.com/xhtml/ui-card.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
